Song,URL
21/04/20 Kero Kero Bonito,https://www.youtube.com/watch?v=nBBtYirVN_Y
gold fronts (feat. Lil Wayne) Fousheé,https://www.youtube.com/watch?v=aBmipUOg1Qw
A Minha Menina Os Mutantes,https://www.youtube.com/watch?v=XIbJylD_c84
Unity (with Cola Boyy) Juan Wauters,https://www.youtube.com/watch?v=kYU0IcYFenU
Heads Will Roll - A-Trak Remix Yeah Yeah Yeahs,https://www.youtube.com/watch?v=or3U2rXxvQw
Shine Witch Prophet,https://www.youtube.com/watch?v=cg3g0U_Fj5E
Bad girl Sun June,https://www.youtube.com/watch?v=_GYNt8oWOGw
Witchoo Durand Jones & The Indications,https://www.youtube.com/watch?v=d7vTtnevlO4
Bang Goat Girl,https://www.youtube.com/watch?v=NQQdNAR_j2A
Telephone Annie Taylor,https://www.youtube.com/watch?v=J3NLxubR2qk
Stylo (feat. Mos Def and Bobby Womack) Gorillaz,https://www.youtube.com/watch?v=-SxlD74hvRk
Love Will Tear Us Apart - 2010 Remaster Joy Division,https://www.youtube.com/watch?v=mAAqKx4aD_g
Sticky The Maine,https://www.youtube.com/watch?v=RkQ4R827lVk
Lone Raver Barry Can't Swim,https://www.youtube.com/watch?v=xI1ORRzP3_Y
Car Crash Tiny Little Houses,https://www.youtube.com/watch?v=91WR6bl8uYs
Breezeblocks alt-J,https://www.youtube.com/watch?v=rVeMiVU77wo
Paper Tiger Liam Bailey,https://www.youtube.com/watch?v=5ZvbcyZkgOg
Fire Diskopunk,https://www.youtube.com/watch?v=BLW78BghgZ0
Flux Bloc Party,https://www.youtube.com/watch?v=ttcboE1GrNg
estella// KennyHoopla,https://www.youtube.com/watch?v=u5VyrdvBjeY
Light It Again - Radio Edit Allysha Joy,https://www.youtube.com/watch?v=VDjP1YeZesM
An End Has A Start Editors,https://www.youtube.com/watch?v=oNFn_wi6T1E
The Trend daysormay,https://www.youtube.com/watch?v=gtxEu3VU2qc
Hate Me Layto,https://www.youtube.com/watch?v=nzCCtO05Oh0
FFS Deaf Wish,https://www.youtube.com/watch?v=7G0y44QRH4E
Fool Mary Bragg,https://www.youtube.com/watch?v=UwI1rf6GAPM
Song 2 - 2012 Remaster Blur,https://www.youtube.com/watch?v=fVPIVD8A8CI
Near To The Wild Heart Of Life Japandroids,https://www.youtube.com/watch?v=pSkrhQiwFcE
Help I'm Alive Metric,https://www.youtube.com/watch?v=ZoK63Bk7pgw
400 Years Reginald Omas Mamode IV,https://www.youtube.com/watch?v=J6TQwMr_G38
CR78 Maddie Jay,https://www.youtube.com/watch?v=ZjOVTX6OFMI
Smash It Up! The (International) Noise Conspiracy,https://www.youtube.com/watch?v=FyjmCg_VMU0
Strange Moments The Tracks,https://www.youtube.com/watch?v=jDM_JhYxLkE
Supreme Level Interplanetary Criminal,https://www.youtube.com/watch?v=HFz-d2MHC-k
Hometown Sarah Jarosz,https://www.youtube.com/watch?v=cWM3EFDrIU8
